id	category	gms_name	kms_name	icon
1012037	Accessory	Armillary Shield Paint (Portugal)	포르투기스 페인팅 (포르투갈)	1012037.png
1012038	Accessory	Rising Sun Paint (Japan)		1012038.png
1012039	Accessory	Taegeuk Paint (Korea)	태극 페인팅 (대한민국)	1012039.png
1012040	Accessory	Heart Face Painting	하트마크	1012040.png
1012041	Accessory	Star Spangled Paint (USA)		1012041.png
1012042	Accessory	Aztec Paint (Mexico)		1012042.png
1012043	Accessory	Australia Face Painting		1012043.png
1012044	Accessory	Mummy Mask	미이라 마스크	1012044.png
1012047	Accessory	Fu Manchu	백작님 수염	1012047.png
1012048	Accessory	Dark Jack's Scar	커다란 흉터	1012048.png
1012049	Accessory	Ogre Mask		1012049.png
1012050	Accessory	Maple-Stein Face	프랑켄슈타인 마스크	1012050.png
1012051	Accessory	Dark Jester		1012051.png
1012052	Accessory	Tongue Twister Scroll	두루마리 문서	1012052.png
1012053	Accessory	Unmanaged Anger	분노	1012053.png
1012054	Accessory	Purple Rage	절망	1012054.png
1012055	Accessory	Allergic Reaction	반달 홍조	1012055.png
1012056	Accessory	Doggy Mouth	개코	1012056.png
1012057	Accessory	Transparent Face Accessory		1012057.png
1012062	Accessory	Mild Pink Lipstick	마일드핑크 립스틱	1012062.png
1012063	Accessory	Kitty Paint	캣츠 분장	1012063.png
1012074	Accessory	Mocking Laughter	메롱	1012074.png
1012075	Accessory	Cold Sweat	식은땀	1012075.png
1012080	Accessory	Fat Lips	도톰한 입술	1012080.png
1012081	Accessory	MV Mask		1012081.png
1012082	Accessory	Ice Cold Red	귀까지 빨개	1012082.png
1012083	Accessory	Dollish Pink	인형핑크	1012083.png
1012085	Accessory	Cherry Bubblegum	딸기맛 풍선껌	1012085.png
1012090	Accessory	Facial Powder		1012090.png
1012096	Accessory	Apple Bubble Gum	사과맛 풍선껌	1012096.png
1012097	Accessory	Purple Noisemaker	삑삑이	1012097.png
1012099	Accessory	Facial Powder(blue)		1012099.png
1012100	Accessory	Facial Powder(red)		1012100.png
1012104	Accessory	Transparent Face Accessory	투명 얼굴장식	1012104.png
1012105	Accessory	Super Sucker	쁘띠베베	1012105.png
1012112	Accessory	Bauhinia Paint (Hong Kong)		1012112.png
1012113	Accessory	ROC Paint (Taiwan)		1012113.png
1012114	Accessory	5-Starred Red Paint (China)		1012114.png
1012121	Accessory	Coat of Arms Paint (Spain)		1012121.png
1012122	Accessory	Gold Nordic Paint (Sweden)		1012122.png
1012123	Accessory	Holland Paint (Netherlands)		1012123.png
1012124	Accessory	Union Paint (UK)		1012124.png
1012125	Accessory	Chakra Paint (Thailand)		1012125.png
1012126	Accessory	Yellow Star Paint (Vietnam)		1012126.png
1012127	Accessory	Crescent Paint (Singapore)		1012127.png
1012128	Accessory	Jalur Gemilang Paint (Malaysia)		1012128.png
1012129	Accessory	Maple Leaf Paint (Canada)		1012129.png
1012131	Accessory	Smiling Face		1012131.png
1012133	Accessory	Face Accessory		1012133.png
1012134	Accessory	Tear Drop Face Tattoo		1012134.png
1012137	Accessory	Star Face Painting	스타 페이스 페인팅	1012137.png
1012147	Accessory	Immortal Mask		1012147.png
1012159	Accessory	Foxy Mask		1012159.png
1012165	Accessory	Clown Nose		1012165.png
1012166	Accessory	Villain Mask		1012166.png
1012176	Accessory	Orange Blush	오렌지 발그레	1012176.png
1012179	Accessory	Reindeer Red Nose		1012179.png
1012180	Accessory	Chocolate Heart		1012180.png
1012192	Accessory	Shadow Mask	그림자 각인	1012192.png
1012208	Accessory	Lovely Smile		1012208.png
1012253	Accessory	Heart Pounding Lip Gloss		1012253.png
1012275	Accessory	6th Anniversary Party Glasses		1012275.png
1012289	Accessory	Transparent Face Accessory	투명 얼굴장식	1012289.png
1012298	Accessory	Hand Mark		1012298.png
1012315	Accessory	Adhesive Bandage		1012315.png
1012366	Accessory	Zombie Hunter Mask	좀비 사냥꾼 마스크	1012366.png
1012374	Accessory	Heartbreaker Lips	가슴 두근 립	1012374.png
1012379	Accessory	Flushed Cheeks	발그레 발그레	1012379.png
1012384	Accessory	Playful Band	장난꾸러기 밴드	1012384.png
1012388	Accessory	Clown	삐에로	1012388.png
1012390	Accessory	Peruvian Flag Face Paint		1012390.png
1012412	Accessory	Bloody Tears	암염의 눈물	1012412.png
1012413	Accessory	Naked Face		1012413.png
1012415	Accessory	Blingin' Red Lipstick	블링레드 립스틱	1012415.png
1012427	Accessory	Surprised Face Accessory	ㅎㅂㅎ 얼굴장식	1012427.png
1012428	Accessory	Thick Eyebrows Face Accessory	ㅎㅅㅎ 얼굴장식	1012428.png
1012429	Accessory	Round Eyes-And-Mouth Face Accessory	ㅎㅇㅎ 얼굴장식	1012429.png
1012430	Accessory	Bear Nose Face Accessory	ㅎㅈㅎ 얼굴장식	1012430.png
1012431	Accessory	Straight Face Accessory	ㅎㅗㅎ 얼굴장식	1012431.png
1012432	Accessory	Cat-Mouth Face Accessory	눈ㅅ눈 얼굴장식	1012432.png
1012433	Accessory	Animal Face Accessory	눈ㅈ눈 얼굴장식	1012433.png
1012434	Accessory	Mustache Face Accessory	눈ㅎ눈 얼굴장식	1012434.png
1012435	Accessory	Gross Face Accessory	눈ㅠ눈 얼굴장식	1012435.png
1012436	Accessory	Enlightened Face Accessory	눈_눈 얼굴장식	1012436.png
1012437	Accessory	Palm Print Mask	손바닥 얼굴장식	1012437.png
1012450	Accessory	Choco Candy Cookie	초코볼 쿠키	1012450.png
1012462	Accessory	Ghost Bride's Shining Dark Eyes		1012462.png
1012468	Accessory	Yummy Candy	냠냠사탕	1012468.png
1012472	Accessory	레인보우 페인팅	레인보우 페인팅	1012472.png
1012473	Accessory	So Angry!!! Face	화가난다!!! 얼굴	1012473.png
1012474	Accessory	Clobber		1012474.png
1012475	Accessory	태극 페인팅	태극 페인팅	1012475.png
1012479	Accessory	Ruddy Kitten Nose	발그레 냥이 코	1012479.png
1012482	Accessory	Quack Quack	꽥꽥 오리야	1012482.png
1012485	Accessory	Sweet Persimmon Blush	단감 홍조	1012485.png
1012486	Accessory	Hothead		1012486.png
1012487	Accessory	Oozer		1012487.png
1012488	Accessory	Clobber		1012488.png
1012489	Accessory	LaLaLa Megaphone	랄랄라 메가폰	1012489.png
1012494	Accessory	Worn Skull Mask	낡은 해골 마스크	1012494.png
1012495	Accessory	Skull Mask	해골 마스크	1012495.png
1012501	Accessory	No Biting!	깨물기 없다 앙!	1012501.png
1012502	Accessory	Frosty Frozen Face	눈코입 꽁꽁꽁	1012502.png
1012509	Accessory	Hange's Glasses		1012509.png
1012510	Accessory	Sasha's Delicious Bread		1012510.png
1012511	Accessory	Cleaning Mask		1012511.png
1012514	Accessory	Heart-Shaped Chocolate	하트 초콜릿	1012514.png
1012515	Accessory	Strawberry Cake	딸기 케이크	1012515.png
1012517	Accessory	Vellum Mask	벨룸 마스크	1012517.png
1012518	Accessory	Von Bon Mask	반반 마스크	1012518.png
1012525	Accessory	Smile! It's the Sweet Maple Festival!	맛있으면 돼지!	1012525.png
1012526	Accessory	So Delish Ice Cream	너무맛있어! 돼지바!	1012526.png
1012527	Accessory	Blushing Yeti	발그레 예티	1012527.png
1012528	Accessory	Boss Lotus Eyes	보스 스우 아이즈	1012528.png
1012533	Accessory	Spring Cloud Piece	봄 구름 조각	1012533.png
1012534	Accessory	Rainbow Face Paint		1012534.png
1012544	Accessory	Culnesis	쿨네시스	1012544.png
1012551	Accessory	The Mighty Face	파왕의 얼굴	1012551.png
1012552	Accessory	Pink Bean Sadface		1012552.png
1012555	Accessory	Vampire Eyes (Sapphire)	뱀파이어 아이즈 (사파이어)	1012555.png
1012556	Accessory	Vampire Eyes (Ruby)	뱀파이어 아이즈 (루비)	1012556.png
1012557	Accessory	Nom Nom Oz	냠냠 오즈	1012557.png
1012562	Accessory	Heartbeam Face	하트빔 얼굴	1012562.png
1012567	Accessory	Touched Tears	감격의 눈물	1012567.png
1012568	Accessory	Shocked Eyes	동공지진	1012568.png
1012569	Accessory	Baby Binkie	아가뽀뽀	1012569.png
1012571	Accessory	Sleepy Zees	나른zZ	1012571.png
1012572	Accessory	Little Kitten Face Accessory		1012572.png
1012573	Accessory	Pretty Pretty Smile	예쁘게 웃어요	1012573.png
1012579	Accessory	Pouty Face	뿌뿌 얼굴	1012579.png
1012589	Accessory	So Sleepy	잉잉 졸려	1012589.png
1012592	Accessory	ㅇㅂㅇ 얼굴장식	ㅇㅂㅇ 얼굴장식	1012592.png
1012593	Accessory	Blank Face Accessory	ㅇ_ㅇ 얼굴장식	1012593.png
1012594	Accessory	ㅇㅅㅇ 얼굴장식	ㅇㅅㅇ 얼굴장식	1012594.png
1012595	Accessory	ㅅㅂㅅ 얼굴장식	ㅅㅂㅅ 얼굴장식	1012595.png
1012596	Accessory	ㅅ_ㅅ 얼굴장식	ㅅ_ㅅ 얼굴장식	1012596.png
1012597	Accessory	ㅅ ㅅ 얼굴장식	ㅅ ㅅ 얼굴장식	1012597.png
1012601	Accessory	Toothy Smirk	별나라 깨비깨비	1012601.png
1012602	Accessory	Squinting Toothy Smirk	눈감은 별나라 깨비깨비	1012602.png
1012603	Accessory	Hangover Make-up		1012603.png
1012607	Accessory	>:3	좋아좋아	1012607.png
1012608	Accessory	Chocolate Overload Face Accessory	초코가득 얼굴장식	1012608.png
1012609	Accessory	White Night Tattoo		1012609.png
1012610	Accessory	Enigma	신비주의	1012610.png
1012611	Accessory	Snowy Eyeliner (F)	퓨어 화이트	1012611.png
1012612	Accessory	Snowy Eyeliner (M)	스노우 화이트	1012612.png
1012614	Accessory	Face of Longing	그윽한 얼굴	1012614.png
1012615	Accessory	Furtive Smile Face	은근한 얼굴	1012615.png
1012616	Accessory	Chocolate Heart	하트초콜릿	1012616.png
1012617	Accessory	Strawberry Cake	딸기케이크	1012617.png
1012618	Accessory	Strawberry Pastry	장미월병	1012618.png
1012619	Accessory	Calabash Pipe		1012619.png
1012620	Accessory	Squishy Face	매앵 얼굴	1012620.png
1012621	Accessory	Grumpy Face	화나쪄 얼굴	1012621.png
1012623	Accessory	Puppy Face Accessory		1012623.png
1012624	Accessory	Round Pucker Face	탱글 빵 얼굴	1012624.png
1012625	Accessory	Hearty Flush	하트 콩콩	1012625.png
1012626	Accessory	Cadena Mask	카데나 마스크	1012626.png
1012628	Accessory	Custom Kitty Whiskers		1012628.png
1012629	Accessory	Starshine Cat Eyes Mask		1012629.png
1012630	Accessory	Dreamy Cat Eyes Mask		1012630.png
1012631	Accessory	Bandaged Lips	과묵 반창고	1012631.png
1012633	Accessory	Lost in Thought	빛바랜 기억	1012633.png
1012634	Accessory	Nyan Nose	냄새가 났어!!	1012634.png
1012635	Accessory	Teeth Brushing Time		1012635.png
1012636	Accessory	Dark Silence	검은 침묵	1012636.png
1012637	Accessory	Worn Skull Mask	낡은 해골 마스크	1012637.png
1012638	Accessory	Ramblings of a Genius		1012638.png
1012639	Accessory	Rainbow Blush	무지개 홍조	1012639.png
1012641	Accessory	Peach Blossom	복숭아꽃	1012641.png
1012642	Accessory	Bubble Pup Mask		1012642.png
1012644	Accessory	Teddy Surgeon Mask		1012644.png
1012645	Accessory	Skeleton Surgeon Mask		1012645.png
1012646	Accessory	So Tasty	얌얌 맛나	1012646.png
1012647	Accessory	So Yummy	냠냠 맛나	1012647.png
1012649	Accessory	So Angry	찍찍 화나	1012649.png
1012650	Accessory	Scribbleface	얼굴 위 낙서	1012650.png
1012651	Accessory	Teared Up	울망울망	1012651.png
1012653	Accessory	Topsy-turvy Face	뱅글이 얼굴	1012653.png
1012654	Accessory	Steamed Bun Face		1012654.png
1012656	Accessory	Round Blush	동글 홍조	1012656.png
1012657	Accessory	Hawalu's Teary-Eyed Face Accessory		1012657.png
1012658	Accessory	Antagonist Face	다 덤벼 얼굴	1012658.png
1012659	Accessory	Pure Nostalgia	그리운 추억	1012659.png
1012660	Accessory	Naturally Luminous	자체발광	1012660.png
1012661	Accessory	One-Eyed Grim Reaper Face Accessory	사신의 눈빛	1012661.png
1012662	Accessory	Ushishishi Face Accessory		1012662.png
1012663	Accessory	Custom Puppy Whiskers		1012663.png
1012668	Accessory	Purple Doll	인형 보라	1012668.png
1012669	Accessory	Lavender Doll	인형 라벤더	1012669.png
1012672	Accessory	Grapefruit Glow	자몽 생크림	1012672.png
1012673	Accessory	Strawberry Glow	딸기 생크림	1012673.png
1012674	Accessory	Tri-color Face Accessory		1012674.png
1012675	Accessory	White Moon	백월	1012675.png
1012676	Accessory	Black Moon	흑월	1012676.png
1012677	Accessory	Regal Romance Face Accessory Type B		1012677.png
1012678	Accessory	Regal Romance Face Accessory Type A		1012678.png
1012679	Accessory	Pajama Eye Mask		1012679.png
1012680	Accessory	Cobalt Filigree Face Accessory Type B		1012680.png
1012681	Accessory	Cobalt Filigree Face Accessory Type A		1012681.png
1012682	Accessory	Googly Face Accessory		1012682.png
1012683	Accessory	Blushing Frosty	볼빨간 추위	1012683.png
1012684	Accessory	Goth Bunny	사납고 못된 토끼	1012684.png
1012685	Accessory	Stubborn Face		1012685.png
1012686	Accessory	Blue Flame Hellion Face Accessory		1012686.png
1012687	Accessory	Fox Fire Grin		1012687.png
1012688	Accessory	Midnight Lip Gloss	미드나잇 립	1012688.png
1012689	Accessory	Hollow Memories	공허한 추억	1012689.png
1012690	Accessory	Mopey Face		1012690.png
1012691	Accessory	Spiky Mask		1012691.png
1012692	Accessory	Shepherd's Chewin' Grass Face		1012692.png
1012694	Accessory	Whistle	호루라기	1012694.png
1012695	Accessory	Blue Dark Furrytail Cat's Eye Makeup		1012695.png
1012696	Accessory	Violet Dark Furrytail Cat's Eye Makeup		1012696.png
1012697	Accessory	Poker Face Accessory		1012697.png
1012698	Accessory	Meh Face Accessory		1012698.png
1012699	Accessory	Stargazer Face Accessory		1012699.png
1012701	Accessory	Megumin Eye Patch		1012701.png
1012702	Accessory	Black Idol Mask	아이돌 마스크 블랙	1012702.png
1012703	Accessory	White Idol Mask	아이돌 마스크 화이트	1012703.png
1012704	Accessory	Twinkle Glitter	트윙클 글리터	1012704.png
1012706	Accessory	Combo King Kabuki Mask		1012706.png
1012708	Accessory	Flame Elementalist	불의 원소술사	1012708.png
1012709	Accessory	Chilled Blush	아이 추워	1012709.png
1012710	Accessory	Ridiculous Face Accessory		1012710.png
1012711	Accessory	Sobbing Face Accessory		1012711.png
1012712	Accessory	Black Moon Face Accessory		1012712.png
1012713	Accessory	P-Please Don't Do This!		1012713.png
1012714	Accessory	Fierce Battle Wound A		1012714.png
1012715	Accessory	Bursting Rainbow		1012715.png
1012716	Accessory	Pouty >:3	뿌뿌 좋아	1012716.png
1012717	Accessory	Fierce Battle Wound B		1012717.png
1012718	Accessory	Monochrome Movie Mustache	흑백영화 콧수염	1012718.png
1012719	Accessory	Eileen Blusher	아일린 블러셔	1012719.png
1012721	Accessory	Sulking Face	너무해 얼굴	1012721.png
1012722	Accessory	There's Nothing We Can Do Face Accessory		1012722.png
1012723	Accessory	Circus Makeup	서커스 메이크업	1012723.png
1012725	Accessory	Mad Mage Makeup	카리아인 메이크업	1012725.png
1012729	Accessory	Labyrinth Memory	미궁의 기억	1012729.png
1012730	Accessory	Nom Nom Fish Pastry	냠냠 붕어빵	1012730.png
1012731	Accessory	On the Verge of Bawling Face Accessory		1012731.png
1012735	Accessory	Coy Face Accessory		1012735.png
1012736	Accessory	Sobbing Face Accessory		1012736.png
1012737	Accessory	Grinning Face Accessory		1012737.png
1012738	Accessory	Forced Smile Face Accessory		1012738.png
1012739	Accessory	Round-Eyed Face Accessory		1012739.png
1012740	Accessory	Sweetest Dream Face Accessory		1012740.png
1012741	Accessory	Cutie Bunny Face Accessory		1012741.png
1012742	Accessory	Soft Donut	사르르 도넛	1012742.png
1012744	Accessory	Cozy Sleepy	포근 졸려	1012744.png
1012746	Accessory	Twinkle Star Face Accessory		1012746.png
1012747	Accessory	Encountered Fate	마주한 운명	1012747.png
1012748	Accessory	Blushing Toothy Smirk	홍조 깨비깨비	1012748.png
1012750	Accessory	One-Eye Face Accessory	외눈박이 얼굴장식	1012750.png
1012751	Accessory	Fear Eater		1012751.png
1012753	Accessory	Spirit Jewel		1012753.png
1012754	Accessory	New Weird Yeti Face Accessory	New 요상한 예티 얼굴장식	1012754.png
1012755	Accessory	New Weird Pink Bean Face Accessory	New 요상한 핑크빈 얼굴장식	1012755.png
1012756	Accessory	New Weird Slime Face Accessory	New 요상한 슬라임 얼굴장식	1012756.png
1012758	Accessory	Puffed Up Cheeks Snow Squirrel	볼빵빵 눈다람	1012758.png
1012759	Accessory	Sweet Bubble Gum	달콤 버블껌	1012759.png
1012760	Accessory	Chick Beak	병아리 부리	1012760.png
1012761	Accessory	Scared Awake Face Accessory		1012761.png
1012762	Accessory	Dreamy Rose	몽환의 장미	1012762.png
1012763	Accessory	Cute Heart Blusher		1012763.png
1012764	Accessory	Yummy Sandwich	샌드위치 냠냠	1012764.png
1012769	Accessory	Disposable Face Mask	아프지마 얼굴장식	1012769.png
1012770	Accessory	Hop Hop Hop Bunny Face Accessory		1012770.png
1012772	Accessory	I Have A Fever	나는 열나요	1012772.png
1012773	Accessory	I'm A Band-aid	나는 반창고	1012773.png
1012774	Accessory	[BLACKPINK] Hidden Venom	[BLACKPINK] 히든 베놈	1012774.png
1012775	Accessory	[BLACKPINK] Twinkle PINK	[BLACKPINK] 트윙클 핑크	1012775.png
1012776	Accessory	Ruddy Heart	하트 발그레	1012776.png
1012777	Accessory	Dawn Echo	새벽의 울림	1012777.png
1012778	Accessory	Subtle Bear Face Accessory		1012778.png
1012779	Accessory	At First Sight	반하겠어	1012779.png
1012780	Accessory	Strawberry Popsicle	딸기맛 아이스바	1012780.png
1012781	Accessory	Chocolate Popsicle	초코맛 아이스바	1012781.png
1012782	Accessory	Watermelon Popsicle	수박맛 아이스바	1012782.png
1012783	Accessory	Melon Popsicle	메론맛 아이스바	1012783.png
1012784	Accessory	Pointy Fox Whiskers	뾰족 여우 수염	1012784.png
1012785	Accessory	Lemon Popsicle	레몬맛 아이스바	1012785.png
1012786	Accessory	Cherry Popsicle	체리맛 아이스바	1012786.png
1012787	Accessory	Grapefruit Popsicle	자몽맛 아이스바	1012787.png
1012788	Accessory	Grape Popsicle	포도맛 아이스바	1012788.png
1012794	Accessory	Cucumbers On My Cheek	내 볼에 오이팩	1012794.png
1012795	Accessory	Cleansing Foam On My Cheek	내 볼에 클렌징폼	1012795.png
1012798	Accessory	Looking Down On Us with a Smile Face Accessory		1012798.png
1012799	Accessory	Roar CAPOO		1012799.png
1012800	Accessory	Stare CAPOO		1012800.png
1012801	Accessory	Wink CAPOO		1012801.png
1012802	Accessory	Vampire Eyes (Sapphire)	뱀파이어 아이즈 (사파이어)	1012802.png
1012803	Accessory	Contaminated Tear Face Accessory		1012803.png
1012804	Accessory	Aqua Expression		1012804.png
1012805	Accessory	Vanir Mask		1012805.png
1012806	Accessory	Ash Wind Trace	잿바람 흔적	1012806.png
1012807	Accessory	Biting Wind Trace	칼바람 흔적	1012807.png
1012808	Accessory	Enhanced Stare CAPOO		1012808.png
1012809	Accessory	Enhanced Roar CAPOO		1012809.png
1012810	Accessory	Carrot on My Nose		1012810.png
1012811	Accessory	Lovestruck Face Accessory	사랑에 빠진 얼굴장식	1012811.png
1012812	Accessory	Boss Lotus Eyes	보스 스우 아이즈	1012812.png
1012814	Accessory	Witch Cat Face Accessory	마녀고양이 얼굴장식	1012814.png
1012815	Accessory	Spooky Blush	오싹 홍조	1012815.png
1012816	Accessory	Boogie Blush	부기 홍조	1012816.png
1012817	Accessory	Sweet Marchen	스윗 메르헨	1012817.png
1012818	Accessory	Toran Face Accessory	토란 얼굴장식	1012818.png
1012819	Accessory	Tomo Face Accessory	토모 얼굴장식	1012819.png
1012820	Accessory	Explorer Shadower Mask	모험가 섀도어 마스크	1012820.png
1012821	Accessory	Returner Face Accessory		1012821.png
1012822	Accessory	Colorful Party Sticker	컬러풀 파티 스티커	1012822.png
1012823	Accessory	Dark Circle	다크서클	1012823.png
1012824	Accessory	Chief Knight Eckhart Mask	기사단장 이카르트 가면	1012824.png
1012826	Accessory	Gentle Blush	은은한 발그레	1012826.png
1012829	Accessory	Boogie Bellflower Face Accessory		1012829.png
1012830	Accessory	Mad Scientist Disguise		1012830.png
1012831	Accessory	Specter Mask	스펙터 가면	1012831.png
1012832	Accessory	Nezuko's Muzzle	네즈코의 대나무	1012832.png
1012834	Accessory	Flushed Toothy Smirk	발그레 깨비깨비	1012834.png
1012835	Accessory	Pretty Smile	예쁜 미소	1012835.png
1012836	Accessory	Sealed Smile	봉인된 미소	1012836.png
1012837	Accessory	Dimensional Guardian Symbol	차원의 수호자 심볼	1012837.png
1012839	Accessory	Dave's Beard	데이브 수염	1012839.png
1012840	Accessory	Duff's Knowledge Pouch	더프의 지식 주머니	1012840.png
1012841	Accessory	Giant Squid's Eye	대왕 오징어의 눈	1012841.png
1012842	Accessory	Glam Black Lip	글램 블랙립	1012842.png
1012843	Accessory	Glam Red Lip	글램 레드립	1012843.png
1012844	Accessory	Dangerous Bandana	위험한 미소	1012844.png
1012845	Accessory	Arkarium's Facial Hair	아카이럼 수염	1012845.png
1012846	Accessory	Slime Face Accessory		1012846.png
1012847	Accessory	Smiling Mask	웃는 얼굴가면	1012847.png
1012848	Accessory	Crying Mask	우는 얼굴가면	1012848.png
1012849	Accessory	Angry Mask	화내는 얼굴가면	1012849.png
1012850	Accessory	Sad Mask	우울한 얼굴가면	1012850.png
1012851	Accessory	Cool Tone Blush	쿨톤 동글	1012851.png
1012852	Accessory	Warm Tone Blush	웜톤 동글	1012852.png
1012853	Accessory	Carlton's Bushy Beard	카튼의 걱정 수염	1012853.png
1012854	Accessory	Carlton's Fu Manchu Mustache	카튼의 동글 수염	1012854.png
1012855	Accessory	Carlton's Volume Curl Mustache	카튼의 볼륨 컬 수염	1012855.png
1012862	Accessory	Silver Whistle		1012862.png
1012863	Accessory	Black Whistle		1012863.png
1012864	Accessory	Pink Whistle		1012864.png
1012865	Accessory	Orange Whistle		1012865.png
1012866	Accessory	Octo-lips	뽀잉 문어	1012866.png
1012867	Accessory	Blushing Yummy	홍조 냠냠!	1012867.png
1012870	Accessory	Spirit Dark Circle	영혼 다크서클	1012870.png
1012872	Accessory	Gentle Smile Oceanleli Face Accessory		1012872.png
1012873	Accessory	Bright Smile Oceanleli Face Accessory		1012873.png
1012876	Accessory	Desert Sun		1012876.png
1012877	Accessory	Smiling Expression Face Accessory	웃음 표정 얼굴장식	1012877.png
1012878	Accessory	Embarrassed Expression Face Accessory	난처 표정 얼굴장식	1012878.png
1012879	Accessory	Sad Expression Face Accessory	울음 표정 얼굴장식	1012879.png
1012880	Accessory	Angry Expression Face Accessory	분노 표정 얼굴장식	1012880.png
1012881	Accessory	Flustered Expression Face Accessory	당황 표정 얼굴장식	1012881.png
1012882	Accessory	Troubled Expression Face Accessory	곤란 표정 얼굴장식	1012882.png
1012883	Accessory	Queasy Expression Face Accessory	울렁울렁 표정 얼굴장식	1012883.png
1012884	Accessory	Tense Expression Face Accessory	허걱허걱 표정 얼굴장식	1012884.png
1012885	Accessory	Giddy Expression Face Accessory	꺄오 표정 얼굴장식	1012885.png
1012886	Accessory	Kissy Expression Face Accessory	뽀뽀 표정 얼굴장식	1012886.png
1012887	Accessory	Winking Expression Face Accessory	윙크 표정 얼굴장식	1012887.png
1012888	Accessory	Ouch Expression Face Accessory	눈물찍 표정 얼굴장식	1012888.png
1012889	Accessory	Sparkling Expression Face Accessory	초롱초롱 표정 얼굴장식	1012889.png
1012890	Accessory	Furious Expression Face Accessory	활활 표정 얼굴장식	1012890.png
